ï»¿id,income,health_cover,house,wc,phone,car,consumption
1006865,2,1,1,0,0,0,0
1006876,5,1,1,1,1,1,0
1006883,6,1,0,1,1,1,0
1006890,4,0,0,0,1,1,0
1006909,5,1,1,1,1,0,0
1006911,2,1,1,1,0,0,0
1006927,5,1,1,1,1,0,1
1006930,3,0,0,0,1,0,0
1006948,2,1,0,0,0,0,0
1006953,4,1,0,1,1,1,0
1006966,4,0,0,0,1,0,0
1006975,3,1,0,0,1,1,0
1006982,6,1,1,1,1,1,0
1006994,3,0,1,1,1,0,0
1007001,5,0,0,1,1,1,0
1007012,3,1,0,0,1,1,0
1007020,5,1,0,1,1,0,0
1007035,4,1,0,1,1,0,0
1007047,3,1,0,0,1,0,0
1007058,3,0,0,0,1,1,0
1007064,5,1,0,1,1,0,1
1007073,3,0,0,0,0,0,0
1007086,3,1,0,0,0,0,0
1007099,1,0,0,0,0,0,0
1007105,4,1,0,0,1,1,0
1007110,4,1,0,0,1,1,0
1007122,6,1,0,1,1,1,0
1007131,6,1,1,1,1,1,0
1007146,3,0,0,0,1,0,0
1007154,3,0,1,0,1,1,0
1007168,4,1,0,1,1,0,0
1007179,5,1,1,1,1,0,0
1007187,6,1,1,1,1,1,1
1007193,3,0,0,0,1,1,0
1007204,5,1,1,0,0,0,0
1007219,5,1,0,1,1,0,0
1007228,3,1,0,0,1,0,0
1007237,4,1,0,0,1,1,0
1007243,5,1,0,1,1,0,0
1007255,4,1,0,0,1,0,0
1007262,3,1,0,0,1,0,0
1007270,4,0,0,1,1,1,0
1007281,3,0,0,0,1,0,0
1007296,4,1,0,0,0,0,0
1007308,5,1,0,1,1,1,0
1007313,6,1,0,1,1,1,0
1007324,5,1,0,1,1,1,0
1007336,6,1,1,1,1,1,1
1007349,6,1,1,1,1,1,0
1007351,4,0,0,1,1,0,0
1007360,4,1,0,0,1,0,0
1007372,4,1,0,0,1,1,0
1007385,5,0,0,0,1,1,0
1007397,5,1,0,0,1,0,0
1007403,3,1,0,0,1,1,0
1007415,2,1,0,1,1,0,0
1007426,5,1,0,1,1,0,0
1007432,6,1,0,1,1,0,0
1007444,3,1,0,0,1,0,0
1007459,4,1,0,0,1,1,0
1007467,3,1,0,0,1,1,0
1007471,3,0,1,0,1,0,0
1007480,3,0,0,0,1,1,0
1007498,3,0,0,0,1,0,0
1007500,3,0,0,0,1,0,0
1007517,4,1,1,0,1,1,0
1007521,1,0,0,0,0,0,0
1007539,6,1,0,1,1,0,1
1007542,3,0,0,0,1,0,0
1007556,5,1,0,1,1,0,0
1007563,5,1,0,1,1,1,0
1007574,4,1,0,1,1,0,0
1007588,5,1,0,1,1,1,1
1007595,5,1,1,0,1,1,0
1007602,5,1,0,1,1,1,0
1007616,1,0,0,0,0,0,0
1007625,6,1,1,1,1,1,0
1007633,4,1,0,1,1,1,1
1007640,3,1,0,0,1,1,0
1007657,2,0,1,0,1,1,0
1007669,6,1,0,0,1,1,0
1007678,4,1,0,0,1,1,0
1007684,4,1,0,0,1,1,0
1007691,3,0,0,0,0,0,0
1007706,5,1,0,0,1,0,0
1007714,5,1,0,0,1,1,0
1007723,6,1,0,0,1,1,0
